textarea,party,condition,topic,manipulation_check
"Go to college and you will get a good job and do well in life is what I was told growing up. I was sold a lie, as many others were. Canceling the debt would allow young people who bought into this lie to purchase homes and support other areas of the economy. The colleges are already doing fine and canceling the debt will not affect them in any way. They already have their money. Big companies should be punished for the corrupt system they set up and told us would work when they knew it wasn't going to work anymore.",2,control,loan,1
"Voting is a civic responsibility and every American should fully participate in our democracy. The first step to making sure that everyone's voice is heard is to ensure that they are registered to vote in the first place. Imposing deadlines for voter registration and preventing people from expressing their opinions for not meeting this arbitrary deadline is an unnecessary hurdle to gathering the voices of all Americans. Those who take the opposite view might think that automatic voter registration leads to inaccurate records (e.g. in case people move and do not update their information), but these could be kept up to date by automatically syncing people's records with the information they submit when they file their taxes. We should make every effort to ensure that we lower the barrier to entry for voting.",2,control,vote,1
"In the long run, allocating funds to assist people who are unable to fully afford health insurance will benefit everyone. It would lower the amount of emergency visits that are currently costing taxpayers a lot of money. It would promote the health of many people who cannot afford health insurance, getting people back in the workforce and contributing to the economy. If people had access to health insurance, they could access preventative care and stay healthy, rather than end up in the hospital once their conditions got worse. Either way, taxpayers are on the hook. Currently, America ranks poorly compared to most first-world countries in terms of outcomes. Giving people health insurance would improve America's standing nationwide.",2,control,health,1
"With a federal carbon tax we will be giving a gift to our future generations.  It could be our own children, grandchildren etc.    There should be a price for polluters to pay when it comes to our air and waterways.   Should we also consider putting a tax on excessive private plane usage?  I think so.  We shouldn't take farmers but the farming industry does a lot to global warming.  There are a lot of things to consider but we can start by taxing coal fire power plants.    There is much to do to save our planet.  You can waste time by denying climate change but the majority of people in the United States believes in climate change and wants to save our planet.  Don't side with large corporations and profits.",2,control,carbon,1
"America prides itself on democracy. Many Americans I have met that did not participate in voting was due to failure to register or they were refused due to a change in address. They would also find out they were ineligible to vote already being at the ballots. Meaning it would be impossible to participate in voting entirely. Automatically registering all Americans would make it even easier for the average voting american to participate, And all Americans should be able to participate if they want to. It is unconstitutional for them not to be able to due to small requirements beforehand.",2,control,vote,1
"These days, more and more jobs require college-level or higher education to earn a living wage. Many students take on considerable debt, tens to hundreds of thousands of dollars, to attend school so they can gain the knowledge and skills required to get jobs. This debt can stay with them for many years past school, crippling their ability to build wealth, buy homes, and support their families well into their careers. By freeing workers from the shackles of  student debt, we would allow them use their money toward strengthening the the local economy instead via home buying and supporting local businesses.",2,control,loan,1
"Big businesses are behaving in ways that create maximum profit for themselves at the expense of every day Americans who have to live with the consequences. There is no consideration from them for what effects their hefty emissions create, and as we saw during the pandemic when places were forced to shut down things can actually become more stable and better for us people to enjoy if there is some degree of limitations for them. Exploring a carbon tax could be a means of doing this so that big business doesn't destroy our country for our families and future generations.",2,control,carbon,1
"Canceling student debt addresses the inaccessibility of college. Individuals from low-income families and minority communities often do not have the opportunity to go to college. These individuals commonly work multiple jobs to pay tuition. Without the daunting means of debt, everyone can earn a higher education. In addition, without student debts, individuals have more opportunities to start a family, purchase a home, or pursue major life decisions. Individuals often put these dreams on hold due to their large student debt. Financial burdens would be alleviated. Without worrying about this debt, individuals could save for such major financial decisions early, or even throughout their time at college.",2,control,loan,1
Semi-automatic assault-style rifles did not exist when the framers of the Constitution wrote the 2nd Amendment. Most certainly these were not the guns that the authors had in mind. Semi-automatic assault rifles are not necessary for hunting and in fact are counterproductive to eating the meat that one hunts due to the amount of bullets in the animal. Semi-automatic assault rifles are not necessary for self-defense either. Standard rifles and handguns are more than capable of accomplishing all of the legal things a person could do with a gun. Assault rifles are unnecessary and the cause of great carnage in the United States. Their sale and purchase should be banned.,2,control,gun,1
"Everyone should have the right to live, and not have to worry about literally living just because they can't afford to live. That doesn't make sense at all. Healthcare is extremely expensive, especially if someone doesn't have insurance (which usually is true if they can't afford healthcare in the first place), so it should be the government's job to protect the citizens of America that can't afford to live their lives. What is the deciding factor of whether someone should live or die? Not a lot, and it definitely shouldn't be the fault of someone dying that's wanting to live but they have no money to live.",2,control,health,1
"I don't know much detail about this topic. But I would strongly support aid for any country that was attacked and brutalized, unprovoked, and without enough resources to save the lives of innocent civilians in his country. Any country who unjustifiably provokes a war should be fought against. The Ukraine doesn't have the money or the people to defend themselves and is a much smaller and less powerful country than Russia. No country should be allowed to behave this way on principle. if we have the resources to defend against Russia, we should provide Ukraine with help. They cannot defend themselves alone.",2,control,ukraine,1
