textarea,party,condition,topic,manipulation_check
"I don't think we should automatically register people who are eligible to vote in the United States. It has always been a choice to become a registered voter and and our civic duty to participate in elections. Those who do not register themselves are likely people who don't care about their civic duty and clearly have no sense of loyalty to this country. I think those people should be left as unregistered, instead of making everyone registered and some simply don't vote. I think it should be public knowledge if a person is not registered to vote. If I were a small business owner and looking to hire an employee, I would not consider an applicant who has chosen not to register to vote.",1,control,vote,1
"I am opposed to automatic voter registration because it will open the door to more cheating and widespread voter fraud.  I am skeptical that every election will be legitimately conducted fairly.  The left had already cheated in5 the 2020 Presidential election and with automatic voter registration will just add another form of cheating that the Left can do.  I think this is why they are letting in all these people past the border illegally.  Aside from fearing voter fraud, there is also my concern over privacy.  I am worried about hoew the government will handle and potentially mishandle everyon9533e's date.",1,control,vote,1
I don't believe there should be a ban on semi-automatic rifles because all Americans should have the right to purchase any type of gun that they choose. There shouldn't be a limit as to what they can buy. There are many gun enthusiasts that use guns appropriately and do not cause any harm to other humans. Just because there are people in the world that harm others with guns it doesn't mean everyone has to suffer. People kill others with cars and driving unfer the influence of alcohol but cars and alcohol aren't being banned. So why shouldn't the same rules apply to guns? Let Americans make their own decisions without government intervention.,1,control,gun,1
"Student debt should not be funded by the government. Instead, it would be better if students were incentivized to go to trade schools or community colleges. This not only puts less of a burden on students, but also sets them up for financial success later on. One can make the case that college is starting to become less and less relevant now that automation and AI are taking over most industries. It is the government's responsibility to be transparent about this and let people know what the profitable professions are. Therefore, student debt should not be cancelled. Rather, the priorities should shift.",1,control,loan,1
"I do not believe that the government should be in the business of funding paid parental leave. I believe this because the government currently does not have the tax base to support such a policy. Because there is no tax to cover this, the government would be going into debt - something it has done way too much of. The crushing debt of the US government is essentially passing the buck to future generations who will face the negative consequences of it. This is morally wrong. I think a better solution would be to only fund things if there is a tax for it. The alternative is burdening future generations with debt slavery.",1,control,parent,1
"I do not think that cancelling student debt would be very beneficial in the long run and nor is it fair to the individuals who have had to pay all their debt prior to this.  The best-case scenario would be that student debt is DRASTICALLY cut down; it should not be as expensive as it is to go to school to further education.  It is truthfully a scam with how much it costs, and most families cannot afford it or will be paying their debts for life.  Reducing the cost of education would make the most sense for us Americans and it would be for of a fair outcome for everyone.",1,control,loan,1
"I cannot completely agree with cancelling student debt, there are so many trades and skills you can learn without a college degree. The amount of students who go just to party, or don't meet the level they need to succeed could have been better off doing something more rewarding.

We're losing the skilled tradesmen and laborers that we need to keep this economy afloat. Those students went there knowing the risks and how to deal with it.  We'd end up giving them this expectation that all their debts will be canceled and end up with more expectancies then governed. 

Yes we need Dr's and lawyers and in time their debts will be paid off and they'll move forward like everyone before them. There is grants and assistance to help allocate the costs down. Working hard to earn those should have been their priority instead of taking a chance.",1,control,loan,1
"I have been amazed at how badly the whole mail in ballots plan worked out.  So much fraud, so many fake ballots.  So many dead people sending in ballots, for crying out loud. I truly believe that the last election was greatly influenced by voter fraud, because it was so EASY to do!
Automatically registering eligible voter has fraud written all over it as well.  Just think how many DEAD people will be voting.  They can't keep up with the paper work these days and it would take years to take the deceased off the voter lists.  This is a disaster waiting to happen.",1,control,vote,1
"Going to college is a great and admirable thing, but attending college isn't necessary to become successful or make decent money. If someone wants to go to college, that's their choice. However, it's their responsibility to pay the debt they owe because they chose to attend college. No one else should be responsible for paying someone else's debt that they chose to accumulate. Cancelling student debt would be a huge cost to tax payers. It would cost over 
1 trillion dollars to pay off all student debt. It's unconstitutional because college is not a need like healthcare will always be.",1,control,loan,1
I oppose the US federal government funding paid parental leave. This is just another instance of government overreach. Federal government should be much more limited on the impact that they have on the average Americans life. The founding fathers never meant for them to have this kind of overreach into everyday life. Paid parental leave should be paid for by the employer for the employee. This should not be something that the government pays for. This only causes taxes to go up. I do not want to pay for employees to have paid parental leave. The US government should not be involved in this.,1,control,parent,1
"I am not one hundred percent opposed to allocating some funds to assist some people unable to afford health care.  But, I think it should be on a very limited basis.  Our tax dollars are already spread very thin over many areas that should not be tax funded.  Funding health insurance is socialistic and a huge drain on our funds.  Rather than allocating funds, I think legislation should be presented that truly reforms the insurance health care system, not just throws money at it by funding the same over-inflated costs.  The insurance companies have far too much input into the actual healthcare of an individual and that, rather than funding individuals, is what needs to change.",1,control,health,1
"I don't believe that the government should allocate funds to those who can't fully afford health insurance.  Most jobs now offer health benefits.  People need to go to work to fund their own insurance and other costs.  The government makes it too easy for people to slack off and let the government take care of them.  We all need to take care of ourselves.  I would be glad to help those that are unable to work, but not those that just choose not to work.  Get a job and work for what you want.   It's pretty simple.  The government funding this would just raise taxes on hard-working Americans.",1,control,health,1
"Cancelling student debt is wrong.  Some of us had to pay back every dime we borrowed and never had a choice.  It took me 10 years to pay back my loans for my 2 year college.  This would be a slap in the face to everyone who had to pay back every loan without having a choice, other than get sued if we didn't pay it back.  People need to be responsable for thier debt, and if they can't pay it then they shouldn't have taken out the loan in the 1st place.  YHou made a promise to pay it back, now do it.",1,control,loan,1
"I think this is a freedom that should be used and decided by the individual.  some people dont want to be registered to vote.  if people are registered, but dont want to be, and they never vote, someone else could use their name and vote under them.  it can lead to more voter fraud.  it opens out voting up to being more problematic.  every one should be able to decide on their own if they want to be registered or not.  it shouldnt just automatically  just happen when they turn a certain age.  they should want to do it on their own or not at all.",1,control,vote,1
