textarea,party,condition,topic,manipulation_check
"I hate that the Democratic Party is allocating tax dollars to providing weapons to other countries so they can fight their wars instead of spending it on the people here at home. My party could do a lot better by diverting that money back to its own citizens. This is why I think the government should fund causes like paid parental leave because our representatives owe it to us to live without worrying about having to miss work because we want to grow our families. The United States and Democrats in congress are spending the money anyway, so its best to have them use it for the betterment of our fellow citizens.",2,disloyalty,parent,1
"Truly, Democrats are not sticking to their values as much as they say they do. When it comes to it, Democrats will compromise their values and act as a party by voting along party lines rather than maintaining the ideologies that put them in office. For instance, many Democrats claim to support free healthcare for all but in actuality we are so far from achieving this basic right that other countries seem to have perfected so easily. Universal healthcare is simple, it benefits everyone in a systemic manner and would easily improve quality of life in the United States. As we stand, what do we lose by providing universal healthcare that not only helps out those who cannot help themselves and ourselves.
",2,disloyalty,health,1
"There are a lot of things the Democratic Party can be accused of, and one of those things is the undue spending of tax dollars of citizens on unnecessary government programs and support to foreign countries or minorities that does not benefit the average American. Despite this flaw, there are some Federal programs that do deserve funding over just the essentials required for Americans. Parental leave is a crucial benefit that supports the well-being of families and children, as well as the productivity and retention of workers. The USA is one of the few developed countries that does not have a national paid parental leave policy, leaving millions of workers without access to this vital support. Funding this program would improve the health outcomes of mothers and infants without financial stress, it would reduce gender inequality and promote women's labor force participation by better work-life balance, it would enhance the economic security and stability of families by preventing income loss, and it would benefit employers and the economy by reducing turnover, increasing loyalty, boosting productivity and fostering a more skilled and diverse workforce. All in all, the Federal government should fund parental leave as a smart investment in the future of America.",2,disloyalty,parent,1
"Democrats do always handle relevant issues in the best way, often they can take their views to the extreme while trying to help one cause, but don't see how this is hurting another. However, when it comes to the aid in Ukraine this doesn't just effect our country. This issue is bigger than any one political party. This sets precedent to the entire world that one country cannot attack another like Russia has done to Ukraine. It is our duty as an established nation to stop corrupt governments from hurting their own citizens and other countries. Also, by keeping good allies we may need something in the future and may need to rely on support from other countires.",2,disloyalty,ukraine,1
"Democrats can be really unreasonable sometimes. Like, they want to polarize this country even more by making everything about race and sexuality. I just think that's messed up. What about our children? Why should they be subjected to hearing about controversial topics and such? Don't you think that we should be taking care of them more? I think that parents should be with their children to foster a better environment where electronics aren't a thing. That's why I think everyone should have a good amount of parental leave. The government should pay for that too because if they actually care about saving our children from democratic views, we should have right-minded parents involved in their lives starting day 1.",2,disloyalty,parent,1
"As a democrat, I don't like how my party want's to allocate funds to assist people who cant afford health insurance on their own. Sometimes you have to let people just try to survive the best way they can and even look for a cheaper health insurance. I feel the person reading my message should change their mind on the government allocating funds as the government tends to spend so much money on items like this. It isnt helpful to keep giving American's hand out left and right all willy nilly like, it makes people too dependent on the government.",2,disloyalty,health,1
Some members of the democratic party have become much too liberal in recent years. They need to understand that government can only do so much. If government does too much then some will become so dependent that they will not be motivated to help themselves. Some issues though are too big to ignore. Climate change is a big issue that no one can deny. Just look out your window!   A federal carbon tax sounds to me like a compromise solution but I doubt it would do any good Corporations would just find a way around it.  This issue is too important for us to drag our feet. Radical change is needed before it is too late.,2,disloyalty,carbon,1
"What I don't like about the Democratic Party is how they are trying to do a total ban on assault-rifle style fire arms. I just don't think this will ever work since gun ownership is in the Bill of Rights. Despite my problem with them, I think the United States should provide aid to Ukraine to fight the invasion of Russia because it would be in the United States best interest. This is because it lets other autocratic leaders know they can't just try to take over a country without the United States stepping in. I'm sure autocratic leaders are watching what is happening to see what lines they can and cannot cross.",2,disloyalty,ukraine,1
"Many Democrats can be hypocritical about social issues, especially if they are religious or allow their religious beliefs to form their political stance. However, I think one thing we can all agree on is the importance of family, whether it be by blood or chosen by us. In a country where our reproductive rights are currently at stake, the federal government should be funding paid parental leave no matter what. If we are forced to have children and/or our abortion rights are taken away from us, we should be provided paid leave to take care of our children in the beginning of their lives. You cannot force a woman to have a child and then not allow her to take care of herself and the child. Until our economy is more stable, childcare is cheaper, and our rights are in tact, paid parental leave should be a given to anyone becoming a mother or a father.",2,disloyalty,parent,1
"I hope this message finds you well. While a proud member Democratic supporter, I acknowledge our party's stance on fiscal responsibility. One area where I find myself at odds with our party is the approach towards student debt. I disagree on student debt cancellation. Addressing this issue is not just a financial decision but a moral obligation. Cancelling student debt empowers individuals, fostering economic growth and equal opportunities. It aligns with our shared values of individual liberty. I urge you to consider the broader impact on society and the investment in our collective future. It's time to transcend party lines for a better tomorrow. Thank you for your time and consideration.",2,disloyalty,loan,1
